year,region,total_fleet,new_evs,penetration_rate,target,compliance_shortfall
2015,Scotland,9543863,1324,0.01%,3149474.79,3148150.79
2015,South East,19740141,5555,0.03%,6514246.53,6508691.53
2015,Wales,5973393,620,0.01%,1971219.69,1970599.69
2015,South West,11965033,4454,0.04%,3948460.89,3944006.89
2015,East of England,102096688,4100,0.00%,33691907.04,33687807.04
2015,North West,12492506,1879,0.02%,4122526.98,4120647.98
2015,Yorkshire and The Humber,9323883,1945,0.02%,3076881.39,3074936.39
2015,London,10468506,2334,0.02%,3454606.98,3452272.98
2015,Northern Ireland,3642900,431,0.01%,1202157,1201726
2015,West Midlands,11645216,3798,0.03%,3842921.28,3839123.28
2015,East Midlands,9212748,1442,0.02%,3040206.84,3038764.84
2015,North East,4333010,846,0.02%,1429893.3,1429047.3
2016,Scotland,9685814,1439,0.01%,3196318.62,3194879.62
2016,South East,20270462,8610,0.04%,6689252.46,6680642.46
2016,Wales,6073593,612,0.01%,2004285.69,2003673.69
2016,South West,12260497,4299,0.04%,4045964.01,4041665.01
2016,East of England,104398347,6844,0.01%,34451454.51,34444610.51
2016,North West,12653334,1978,0.02%,4175600.22,4173622.22
2016,Yorkshire and The Humber,9569271,3127,0.03%,3157859.43,3154732.43
2016,London,10633381,4138,0.04%,3509015.73,3504877.73
2016,Northern Ireland,3737500,452,0.01%,1233375,1232923
2016,West Midlands,11960869,6026,0.05%,3947086.77,3941060.77
2016,East Midlands,9383467,2134,0.02%,3096544.11,3094410.11
2016,North East,4404557,668,0.02%,1453503.81,1452835.81
2017,Scotland,9846493,2437,0.02%,3249342.69,3246905.69
2017,South East,20621221,10009,0.05%,6805002.93,6794993.93
2017,Wales,6162561,827,0.01%,2033645.13,2032818.13
2017,South West,12605790,6116,0.05%,4159910.7,4153794.7
2017,East of England,106316757,7419,0.01%,35084529.81,35077110.81
2017,North West,12829181,2613,0.02%,4233629.73,4231016.73
2017,Yorkshire and The Humber,9778708,4039,0.04%,3226973.64,3222934.64
2017,London,10707989,6452,0.06%,3533636.37,3527184.37
2017,Northern Ireland,3831600,616,0.02%,1264428,1263812
2017,West Midlands,12249708,7376,0.06%,4042403.64,4035027.64
2017,East Midlands,9571719,2736,0.03%,3158667.27,3155931.27
2017,North East,4473669,797,0.02%,1476310.77,1475513.77
2018,Scotland,9929728,3391,0.03%,3276810.24,3273419.24
2018,South East,20831826,14013,0.07%,6874502.58,6860489.58
2018,Wales,6222410,871,0.01%,2053395.3,2052524.3
2018,South West,12786100,8287,0.06%,4219413,4211126
2018,East of England,107242702,7964,0.01%,35390091.66,35382127.66
2018,North West,12991345,2410,0.02%,4287143.85,4284733.85
2018,Yorkshire and The Humber,9941611,4836,0.05%,3280731.63,3275895.63
2018,London,10680084,5319,0.05%,3524427.72,3519108.72
2018,Northern Ireland,3891400,700,0.02%,1284162,1283462
2018,West Midlands,12333814,8835,0.07%,4070158.62,4061323.62
2018,East Midlands,9674311,3029,0.03%,3192522.63,3189493.63
2018,North East,4517444,651,0.01%,1490756.52,1490105.52
2019,Scotland,10071392,4707,0.05%,3323559.36,3318852.36
2019,South East,21017424,15585,0.07%,6935749.92,6920164.92
2019,Wales,6311586,1127,0.02%,2082823.38,2081696.38
2019,South West,13105450,8101,0.06%,4324798.5,4316697.5
2019,East of England,108491162,8460,0.01%,35802083.46,35793623.46
2019,North West,13224905,3493,0.03%,4364218.65,4360725.65
2019,Yorkshire and The Humber,10153206,7447,0.07%,3350557.98,3343110.98
2019,London,10675576,7456,0.07%,3522940.08,3515484.08
2019,Northern Ireland,3966500,805,0.02%,1308945,1308140
2019,West Midlands,12298440,11716,0.10%,4058485.2,4046769.2
2019,East Midlands,9832531,3250,0.03%,3244735.23,3241485.23
2019,North East,4594427,825,0.02%,1516160.91,1515335.91
2020,Scotland,10078609,10585,0.11%,3325940.97,3315355.97
2020,South East,20846218,38968,0.19%,6879251.94,6840283.94
2020,Wales,6314272,3340,0.05%,2083709.76,2080369.76
2020,South West,13071927,28510,0.22%,4313735.91,4285225.91
2020,East of England,108296642,17357,0.02%,35737891.86,35720534.86
2020,North West,13691102,14372,0.10%,4518063.66,4503691.66
2020,Yorkshire and The Humber,10196695,16688,0.16%,3364909.35,3348221.35
2020,London,10593224,12131,0.11%,3495763.92,3483632.92
2020,Northern Ireland,3983700,1912,0.05%,1314621,1312709
2020,West Midlands,11875025,18626,0.16%,3918758.25,3900132.25
2020,East Midlands,9798498,6768,0.07%,3233504.34,3226736.34
2020,North East,4629313,1898,0.04%,1527673.29,1525775.29
2021,Scotland,10106632,16974,0.17%,3335188.56,3318214.56
2021,South East,20895302,62110,0.30%,6895449.66,6833339.66
2021,Wales,6352106,5459,0.09%,2096194.98,2090735.98
2021,South West,13091657,47315,0.36%,4320246.81,4272931.81
2021,East of England,108549269,33383,0.03%,35821258.77,35787875.77
2021,North West,14109633,38915,0.28%,4656178.89,4617263.89
2021,Yorkshire and The Humber,10269183,26567,0.26%,3388830.39,3362263.39
2021,London,10509793,23188,0.22%,3468231.69,3445043.69
2021,Northern Ireland,4050300,3699,0.09%,1336599,1332900
2021,West Midlands,11499863,23322,0.20%,3794954.79,3771632.79
2021,East Midlands,9877996,13551,0.14%,3259738.68,3246187.68
2021,North East,4669929,4783,0.10%,1541076.57,1536293.57
2022,Scotland,10137519,21066,0.21%,3345381.27,3324315.27
2022,South East,21214026,79865,0.38%,7000628.58,6920763.58
2022,Wales,6394315,7501,0.12%,2110123.95,2102622.95
2022,South West,13177274,50690,0.38%,4348500.42,4297810.42
2022,East of England,109310973,33157,0.03%,36072621.09,36039464.09
2022,North West,14230592,56537,0.40%,4696095.36,4639558.36
2022,Yorkshire and The Humber,10397741,31980,0.31%,3431254.53,3399274.53
2022,London,10441135,30948,0.30%,3445574.55,3414626.55
2022,Northern Ireland,4061600,5211,0.13%,1340328,1335117
2022,West Midlands,11558656,23787,0.21%,3814356.48,3790569.48
2022,East Midlands,9956622,16853,0.17%,3285685.26,3268832.26
2022,North East,4714612,5839,0.12%,1555821.96,1549982.96
2023,Scotland,10238992,24736,0.24%,3378867.36,3354131.36
2023,South East,21613311,115533,0.53%,7132392.63,7016859.63
2023,Wales,6457373,8119,0.13%,2130933.09,2122814.09
2023,South West,13294922,58707,0.44%,4387324.26,4328617.26
2023,East of England,110576830,41320,0.04%,36490353.9,36449033.9
2023,North West,14444152,69989,0.48%,4766570.16,4696581.16
2023,Yorkshire and The Humber,10539456,36458,0.35%,3478020.48,3441562.48
2023,London,10405553,37946,0.36%,3433832.49,3395886.49
2023,Northern Ireland,4123000,7397,0.18%,1360590,1353193
2023,West Midlands,11679957,23653,0.20%,3854385.81,3830732.81
2023,East Midlands,10099853,23336,0.23%,3332951.49,3309615.49
2023,North East,4773451,6181,0.13%,1575238.83,1569057.83
2024,Scotland,10368380,29600,0.29%,3421565.4,3391965.4
2024,South East,21955513,140517,0.64%,7245319.29,7104802.29
2024,Wales,6541688,10859,0.17%,2158757.04,2147898.04
2024,South West,13446755,67985,0.51%,4437429.15,4369444.15
2024,East of England,112032485,61878,0.06%,36970720.05,36908842.05
2024,North West,14669518,74724,0.51%,4840940.94,4766216.94
2024,Yorkshire and The Humber,10701824,45043,0.42%,3531601.92,3486558.92
2024,London,10440598,44857,0.43%,3445397.34,3400540.34
2024,Northern Ireland,4190200,9667,0.23%,1382766,1373099
2024,West Midlands,11787438,26373,0.22%,3889854.54,3863481.54
2024,East Midlands,10236238,27015,0.26%,3377958.54,3350943.54
2024,North East,4844213,9140,0.19%,1598590.29,1589450.29
2025,Scotland,7854119,30163,0.38%,2591859.27,2561696.27
2025,South East,16814661,154533,0.92%,5548838.13,5394305.13
2025,Wales,4962293,10864,0.22%,1637556.69,1626692.69
2025,South West,10152632,56435,0.56%,3350368.56,3293933.56
2025,East of England,85087284,53507,0.06%,28078803.72,28025296.72
2025,North West,11130733,66552,0.60%,3673141.89,3606589.89
2025,Yorkshire and The Humber,8121897,40605,0.50%,2680226.01,2639621.01
2025,London,7872504,37939,0.48%,2597926.32,2559987.32
2025,Northern Ireland,3206600,8980,0.28%,1058178,1049198
2025,West Midlands,8949758,24789,0.28%,2953420.14,2928631.14
2025,East Midlands,7737919,27637,0.36%,2553513.27,2525876.27
2025,North East,3680076,8657,0.24%,1214425.08,1205768.08
